編號,標題,價格,商品網址,圖片網址
36,《三民》國際貿易付款方式的選擇與策略/張錦源【三民網路書店】,380,https://shopee.tw//《三民》國際貿易付款方式的選擇與策略-張錦源【三民網路書店】-i.42458033.17296032454?sp_atk=4ae28d90-ae6f-446c-9bb7-53370feeb653&xptdk=4ae28d90-ae6f-446c-9bb7-53370feeb653,https://down-tw.img.susercontent.com/file/sg-11134201-7rbk6-lon38n2tbawn48_tn
37,《三民》核心英文字彙力2001～4500隨身讀(二版)/三民英語編輯小組 彙整【三民網路書店】,330,https://shopee.tw//《三民》核心英文字彙力2001～4500隨身讀(二版)-三民英語編輯小組-彙整【三民網路書店】-i.42458033.18347211934?sp_atk=c08f39d8-f3f9-4148-8a27-2e607b80c091&xptdk=c08f39d8-f3f9-4148-8a27-2e607b80c091,https://down-tw.img.susercontent.com/file/sg-11134201-7rblf-loe8z5ypwxc11b_tn
38,《東大》弘一大師傳(四版)/陳慧劍【三民網路書店】,420,https://shopee.tw//《東大》弘一大師傳(四版)-陳慧劍【三民網路書店】-i.42458033.11173175061?sp_atk=f2ca8a9f-1709-4740-ad15-98019930f023&xptdk=f2ca8a9f-1709-4740-ad15-98019930f023,https://down-tw.img.susercontent.com/file/sg-11134201-7rbmr-lon05iqfc03733_tn
39,《金城出版社》情報分析心理學(最新中文全譯本)（簡體書）/小理查茲‧J.霍耶爾【三民網路書店】,300,https://shopee.tw//《金城出版社》情報分析心理學(最新中文全譯本)（簡體書）-小理查茲‧J.霍耶爾【三民網路書店】-i.42458033.23045006711?sp_atk=c4b7e606-93c5-43d0-b7d4-b8ce4068d7da&xptdk=c4b7e606-93c5-43d0-b7d4-b8ce4068d7da,https://down-tw.img.susercontent.com/file/sg-11134201-7rbmz-lo8zfoggd9gfe4_tn
40,《三民》新譯抱朴子(下)(二版)/李中華-注譯【三民網路書店】,570,https://shopee.tw//《三民》新譯抱朴子(下)(二版)-李中華-注譯【三民網路書店】-i.42458033.7147408855?sp_atk=05e88dd9-e042-4128-979b-e15d6e1656b0&xptdk=05e88dd9-e042-4128-979b-e15d6e1656b0,https://down-tw.img.susercontent.com/file/sg-11134201-7rbkq-lolr9u1qb39bfd_tn
41,《常春藤有聲》英文字彙王：核心單字2001-4000 Levels 3 & 4/賴世雄【三民網路書店】,460,https://shopee.tw//《常春藤有聲》英文字彙王：核心單字2001-4000-Levels-3-4-賴世雄【三民網路書店】-i.42458033.23500872699?sp_atk=9eedc59d-2e76-47f0-8611-6f28e7b6b49b&xptdk=9eedc59d-2e76-47f0-8611-6f28e7b6b49b,https://down-tw.img.susercontent.com/file/sg-11134201-7rbkh-lol36i76mna402_tn
42,《三民》楊家將演義(三版)/紀振倫―撰【三民網路書店】,200,https://shopee.tw//《三民》楊家將演義(三版)-紀振倫―撰【三民網路書店】-i.42458033.6646631942?sp_atk=3c481271-e2d9-4727-b6d5-a5618fc5d9a6&xptdk=3c481271-e2d9-4727-b6d5-a5618fc5d9a6,https://down-tw.img.susercontent.com/file/sg-11134201-7rbkn-loaycl8cuxi7e9_tn
43,《三民》海上花列傳(三版)/韓邦慶【三民網路書店】,360,https://shopee.tw//《三民》海上花列傳(三版)-韓邦慶【三民網路書店】-i.42458033.5849849867?sp_atk=5b26b8d1-370b-4255-b68b-fe52acbb8d43&xptdk=5b26b8d1-370b-4255-b68b-fe52acbb8d43,https://down-tw.img.susercontent.com/file/sg-11134201-7rbnf-loazk9zrbaud2b_tn
44,《三民》新譯古文觀止(上/下)(增訂五版)/謝冰瑩【三民網路書店】,410,https://shopee.tw//《三民》新譯古文觀止(上-下)(增訂五版)-謝冰瑩【三民網路書店】-i.42458033.12152528140?sp_atk=baeb5024-f376-4f42-824a-5ef28a585645&xptdk=baeb5024-f376-4f42-824a-5ef28a585645,https://down-tw.img.susercontent.com/file/sg-11134201-7rbkd-londh6x5gzredb_tn
45,《碁峰資訊》C++程式設計入門/黃建庭【三民網路書店】,490,https://shopee.tw//《碁峰資訊》C-程式設計入門-黃建庭【三民網路書店】-i.42458033.22100892282?sp_atk=dbbde23a-28b9-40e0-8b0c-4f7184b32790&xptdk=dbbde23a-28b9-40e0-8b0c-4f7184b32790,https://down-tw.img.susercontent.com/file/sg-11134201-22100-hdbwdfqrctiveb_tn
